td_id,ordenes,money,CuadranteMoney,CuadranteOrdenes,Cuadrante_Final
0001b68b-18d4-4a28-a7bd-d9ea6787c06d,4,161590.0,Warm,Regular,"2,2"
0001dd3376517611a308369481b301d55a727b54e41cd5abfe57dea16bb6c3ab,4,139000.0,Warm,Regular,"2,2"
0001e864352ded6e1a7f47ce661f5b4b346711494e968705bf794587c8540b29,2,53700.0,Cold,Newbie,"1,1"
0004af8b381f375ab3e5fe41c9d38b2d49810ae9aad1fe1d21460afdc5434159,3,160500.0,Warm,Regular,"2,2"
0004b4f687e5c7e8cc70daba17cdac6efef9e78980cbe450e9c0f0f5327f861a,2,49999.68,Cold,Newbie,"1,1"
00053c0c-0fcc-4cf2-ab34-ed295edca268,13,415374.83,Hot,Top,"3,3"
00062d3c-e07b-4e54-b0f7-4bdba87b2df9,2,24999.92,Cold,Newbie,"1,1"
0008696e-690f-4380-a6d4-f69ed7601993,3,53539.92,Cold,Regular,"1,2"
000a3ce8-c926-4549-870a-8af911ba6f32,2,59400.0,Cold,Newbie,"1,1"
000b2080aaf2ce03fce7860fd3b7861604555e087c832b48761c7bdb2a2cd7bb,4,442000.0,Hot,Regular,"3,2"
000bb2a5dcdb1c20e42551b015304ce7e35e9f097f71b467f24a5b0a990a944d,2,27999.609999999997,Cold,Newbie,"1,1"
000dbe5674748fcbe7ad314d1cdaf3adcb018d97035ad2ceab208b114b304048,3,88278.89,Warm,Regular,"2,2"
000ff314748cfb076fac3821a71db271ac6e0c8aa2370f7c2f0c92e3a7716389,2,142730.77000000002,Warm,Newbie,"2,1"
00114dabe3425bec1636c7caf8aa53cc3cfd1da367076c9e96131934b757f541,3,110863.97,Warm,Regular,"2,2"
00114e5e-126f-4e25-838f-e01be0c69014,4,429800.0,Hot,Regular,"3,2"
0015ef52392ba0ec4d5652b616040e1b34f37c40874bf3073871f3d728f4a7f3,6,353000.0,Hot,Top,"3,3"
0015f98964a4a52e0003cca3253d7d674995daee3e0c21411d3cb28585e7e0aa,3,100600.0,Warm,Regular,"2,2"
0019a32c8eaa39f36aaf0df37caf56452856d7989c9f80eaad6e630375187256,2,57124.0,Cold,Newbie,"1,1"
001c1ae408a2f284a5d259319ffe3606d3b4c8d8d468a542b568bf411e940e46,4,87555.0,Warm,Regular,"2,2"
001fd623029ff7d5fa57338976942332072ba918c94c54efc02daa8ef05e9178,2,32460.0,Cold,Newbie,"1,1"
002081ee-7a87-49c0-9b99-d904da497c7c,2,90300.0,Warm,Newbie,"2,1"
0020fdef-7ff8-41ac-8a6b-4e0eab7ffcd1,5,269499.76,Hot,Top,"3,3"
0023005c3053240c3aa2b25a16f51d63a161533dfc75827af6e39cfb9dd2a338,2,406699.0,Hot,Newbie,"3,1"
002416f7-dc81-469f-81df-5f04766309c8,5,199220.0,Hot,Top,"3,3"
00275a11b564ba20cdad84e915bc7db73bb2a4423df166d95b160f0c4280182e,3,120512.64,Warm,Regular,"2,2"
00280aa1-6793-482f-9c58-42cd503a9984,2,62400.0,Cold,Newbie,"1,1"
002c52efad32a562c6154b5336dc5d248968ea8969e740339cc54e9a90eaebd1,2,182414.5,Hot,Newbie,"3,1"
002ca67c-cbf5-4df7-8e3d-2e584d9e8436,4,79162.81999999999,Cold,Regular,"1,2"
002e6b52-1f65-4504-9023-a6233b6ac712,3,78550.06999999999,Cold,Regular,"1,2"
002f8e8b-2844-42ac-9773-6d771f5cd0b9,3,88370.0,Warm,Regular,"2,2"
00320bda7195c8bdcae92247cdaf7820f36ddb3367a27f20e7efb459d8abcae0,3,113460.0,Warm,Regular,"2,2"
0032b621856dc1651f301e2399075a573906df131852680eb95bded1198d3158,3,61000.0,Cold,Regular,"1,2"
0035a95d3d19e176576594acea4a883749488bdae9fea91bcf94034ca21cd316,22,800016.35,Hot,Top,"3,3"
003bc4e314c20ef3976d6488f17bfa703568b5da0e7bbd618e2e07eedd439c91,2,25999.92,Cold,Newbie,"1,1"
003dceae706e430443f14dbe2f58780ed4e48f2c9bb42de23b48e5646044c1da,2,80120.0,Cold,Newbie,"1,1"
0040f66a-3c67-48e0-8646-57bc4d2f4fda,2,104500.0,Warm,Newbie,"2,1"
0041ad59c3afdfd149634f36bd98d2086bd8024bc559d81410396c0b6c0adf59,2,71800.0,Cold,Newbie,"1,1"
004890db9cb6374913bf8b1e625dde286eac937bf0b37a4e56f99524ac96673e,4,254000.0,Hot,Regular,"3,2"
004a0f6aa8638de4f1984a04494eae95eb189b709cda52f04be922240d929a22,3,207000.0,Hot,Regular,"3,2"
004b8556788aa334484d52b772f18a68e512f38a565706c89cf9fc8e2d428530,2,34200.0,Cold,Newbie,"1,1"
004ca418485dca192334aea8909622f354828e896ac59f1ec67b7e4568592404,3,77681.20000000001,Cold,Regular,"1,2"
004dd156594caf07a950418227b878e59359bd575ca9fe18973d2f51a60084a6,5,200519.84,Hot,Top,"3,3"
0051eb703455921ed2b8f0ee1b97c04b94468e06040490b33c28241f0fe5cc7a,14,578130.48,Hot,Top,"3,3"
00522ba6-31cb-4d08-b1c9-cf8f12464107,2,12000.0,Cold,Newbie,"1,1"
0057b50fea60addcde2e65f28ccc8400e21817b4f2f489379d3daa8a00bec42d,3,62099.84,Cold,Regular,"1,2"
005920551e51b48c65cd32a2069c154221d5f8c14b3b951340de74dc7c0af652,5,190959.16,Hot,Top,"3,3"
0059c498ade6413991ae2fd16a39cb533425f08428ea0a8a37aa76d10dbec20a,3,177500.0,Hot,Regular,"3,2"
